,Unnamed: 0,links,names,ratings,price for one,cuisine,no of cisine,delivery time,location,outlets,home_delivery,takeaway_available,vegetarian_only,indoor_seating
10,10,https://www.zomato.com/hyderabad/mehfil-narayanguda,Mehfil,4.1,₹250 for one,"Biryani, Chinese, Kebab, Mughlai, North Indian",5,Currently not accepting orders,"Narayanguda, Hyderabad",9,yes,yes,no,yes
11,11,https://www.zomato.com/hyderabad/shah-ghouse-special-shawarma-charminar,Shah Ghouse Special Shawarma,4.1,₹250 for one,"Shawarma, Bakery, Beverages",3,35 min,"Charminar, Hyderabad",2,yes,yes,no,no
12,12,https://www.zomato.com/hyderabad/new-king-safina-hotel-1-charminar,New King Safina Hotel,4.3,₹250 for one,"Mughlai, Biryani, North Indian",3,30 min,"Charminar, Hyderabad",0,yes,yes,no,yes
13,13,https://www.zomato.com/hyderabad/al-rabea-al-arabi-cafeteria-saroor-nagar,Al Rabea Al Arabi Cafeteria,4.4,₹250 for one,"Wraps, Sandwich, Burger, Fast Food",4,56 min,"Saroor Nagar, Hyderabad",2,yes,yes,no,yes
14,14,https://www.zomato.com/hyderabad/ms-bakery-sweets-falaknuma,MS Bakery & Sweets,4.2,₹250 for one,"Bakery, Desserts, Fast Food, Pizza",4,32 min,"Falaknuma, Hyderabad",0,yes,yes,no,no
15,15,https://www.zomato.com/hyderabad/pizza-hut-2-malakpet,Pizza Hut,3.6,₹250 for one,"Pizza, Pasta, Italian, Desserts, Beverages",5,57 min,"The Next Galleria Mall, Malakpet, Hyderabad",8,yes,yes,no,yes
16,16,https://www.zomato.com/hyderabad/food-track-charminar,Food Track,4.1,₹250 for one,"Fast Food, Burger, Sandwich, Pizza, Shake, Beverages",6,47 min,"Charminar, Hyderabad",0,yes,yes,no,yes
17,17,https://www.zomato.com/hyderabad/al-farooj-sonu-kabab-1-ghansi-bazaar,Al Farooj Sonu Kabab,3.9,₹250 for one,"Chinese, North Indian",2,34 min,"Ghansi Bazaar, Hyderabad",0,yes,yes,no,yes
18,18,https://www.zomato.com/hyderabad/mcdonalds-mehdipatnam,McDonald's,4.1,₹250 for one,"Burger, Fast Food",2,64 min,"Mehdipatnam, Hyderabad",33,yes,yes,no,yes
19,19,https://www.zomato.com/hyderabad/burger-king-malakpet,Burger King,4.1,₹250 for one,"Burger, Fast Food",2,46 min,"The Next Galleria Mall, Malakpet, Hyderabad",8,yes,yes,no,yes
20,20,https://www.zomato.com/hyderabad/hotel-shadab-ghansi-bazaar,Hotel Shadab,4.1,₹250 for one,"North Indian, Mughlai, Kebab, Chinese, Biryani, Fast Food, Beverages",7,31 min,"Ghansi Bazaar, Hyderabad",3,yes,yes,no,yes
21,21,https://www.zomato.com/hyderabad/chotus-the-food-people-ghansi-bazaar,Chotu's The Food People,3.7,₹100 for one,"North Indian, Chinese, Biryani",3,36 min,"Ghansi Bazaar, Hyderabad",3,yes,yes,yes,yes
22,22,https://www.zomato.com/hyderabad/baba-bakery-falaknuma,Baba Bakery,4.0,₹100 for one,"Bakery, North Indian, Desserts, Fast Food",4,47 min,"Falaknuma, Hyderabad",0,yes,yes,no,no
23,23,https://www.zomato.com/hyderabad/pista-house-premium-lounge-charminar,Pista House - Premium Lounge,4.1,₹100 for one,"North Indian, Chinese, Italian, Mughlai, Oriental, Seafood, Desserts, Beverages",8,37 min,"Charminar Area, Charminar, Hyderabad",23,yes,yes,no,yes
24,24,https://www.zomato.com/hyderabad/al-akbar-fast-food-corner-2-charminar,Al Akbar Fast Food Corner,4.1,₹100 for one,"Chinese, Beverages",2,28 min,"Charminar, Hyderabad",2,yes,yes,no,yes
25,25,https://www.zomato.com/hyderabad/lucky-restaurant-saroor-nagar,Lucky Restaurant,4.0,₹100 for one,"North Indian, Arabian, Continental, Chinese, Seafood, Mughlai, Desserts, Beverages",8,70 min,"Saroor Nagar, Hyderabad",9,yes,yes,no,yes
26,26,https://www.zomato.com/hyderabad/la-pinoz-pizza-dilsukhnagar,La Pino'z Pizza,4.0,₹100 for one,"Pizza, Pasta, Italian, Fast Food",4,53 min,"Dilsukhnagar, Hyderabad",18,yes,yes,no,yes
27,27,https://www.zomato.com/hyderabad/scoops-ice-cream-2-charminar,Scoops Ice Cream,4.4,₹100 for one,"Ice Cream, Desserts, Pizza",3,29 min,"Charminar, Hyderabad",59,yes,yes,no,yes
28,28,https://www.zomato.com/hyderabad/masqati-ice-cream-charminar,Masqati Ice Cream,4.4,₹100 for one,"Desserts, Fast Food, Street Food, Pizza, Ice Cream, Beverages",6,32 min,"Charminar, Hyderabad",8,yes,yes,yes,yes
29,29,https://www.zomato.com/hyderabad/ms-mandi-shawarma-charminar,MS Mandi & Shawarma,3.9,₹100 for one,"North Indian, Mandi, Fast Food, Pizza, Shawarma, Burger, Shake, Beverages",8,40 min,"Charminar, Hyderabad",0,yes,yes,no,yes
30,30,https://www.zomato.com/hyderabad/safeena-bakery-sweets-charminar,Safeena Bakery & Sweets,4.4,₹100 for one,"Bakery, Fast Food, Street Food, Andhra",4,39 min,"Charminar, Hyderabad",0,yes,yes,no,no
31,31,https://www.zomato.com/hyderabad/kfc-2-malakpet,KFC,3.8,₹100 for one,"Burger, Fast Food, Biryani, Desserts, Beverages",5,49 min,"The Next Galleria Mall, Malakpet, Hyderabad",8,yes,yes,no,yes
32,32,https://www.zomato.com/hyderabad/cream-stone-ice-cream-begum-bazaar,Cream Stone Ice Cream,4.3,₹100 for one,"Ice Cream, Desserts",2,38 min,"Begum Bazaar, Hyderabad",23,yes,yes,yes,yes
33,33,https://www.zomato.com/hyderabad/hotel-rumaan-1-charminar,Hotel Rumaan,4.0,₹200 for one,"Biryani, Chinese, North Indian",3,27 min,"Charminar, Hyderabad",4,yes,yes,no,yes
34,34,https://www.zomato.com/hyderabad/santosh-dhaba-1-begum-bazaar,Santosh Dhaba,3.7,₹200 for one,"North Indian, Chinese, Biryani",3,37 min,"Begum Bazaar, Hyderabad",0,yes,yes,yes,yes
35,35,https://www.zomato.com/hyderabad/shubh-laxmi-dhaba-begum-bazaar,Shubh Laxmi Dhaba,4.0,₹200 for one,"North Indian, Chinese, Biryani, Beverages",4,35 min,"Begum Bazaar, Hyderabad",0,yes,yes,yes,yes
36,36,https://www.zomato.com/hyderabad/paradise-biryani-1-charminar,Paradise Biryani,3.5,₹200 for one,"Biryani, North Indian, Kebab, Chinese, Desserts",5,36 min,"Charminar Area, Charminar, Hyderabad",23,yes,yes,no,yes
37,37,https://www.zomato.com/hyderabad/red-bucket-biryani-dilsukhnagar,Red Bucket Biryani,3.8,₹200 for one,Biryani,1,47 min,"Dilsukhnagar, Hyderabad",39,yes,yes,no,no
38,38,https://www.zomato.com/hyderabad/kritunga-himayath-nagar,Kritunga,3.7,₹200 for one,"North Indian, South Indian, Chinese, BBQ, Biryani, Sichuan, Desserts, Beverages",8,Currently not accepting orders,"Himayath Nagar, Hyderabad",19,yes,yes,no,yes
39,39,https://www.zomato.com/hyderabad/shree-santosh-family-dhaba-kothapet,Shree Santosh Family Dhaba,3.8,₹200 for one,"North Indian, Chinese, South Indian, Beverages",4,50 min,"Kothapet, Hyderabad",26,yes,yes,yes,yes
40,40,https://www.zomato.com/hyderabad/santosh-dhaba-banjara-hills,Santosh Dhaba,3.9,₹200 for one,"North Indian, Chinese, Italian, Biryani, Pizza, Pasta, Fast Food, Desserts",8,62 min,"Banjara Hills, Hyderabad",11,yes,yes,yes,yes
41,41,https://www.zomato.com/hyderabad/ks-bakers-1-dilsukhnagar,KS Bakers,4.1,₹200 for one,"Bakery, Fast Food, Pizza, Burger",4,47 min,"Dilsukhnagar, Hyderabad",18,yes,yes,no,yes
42,42,https://www.zomato.com/hyderabad/cafe-555-aqeeq-restaurant-masab-tank,Cafe 555 & Aqeeq Restaurant,4.1,₹200 for one,"Hyderabadi, North Indian, Mughlai, Chinese, Seafood, Biryani, Shawarma, Desserts",8,55 min,"Masab Tank, Hyderabad",0,yes,yes,no,yes
43,43,https://www.zomato.com/hyderabad/karachi-bakery-2-nampally,Karachi Bakery,3.8,₹200 for one,"Bakery, Chinese, Pizza, Sandwich, Italian, Wraps, Street Food, Fast Food",8,42 min,"Nampally, Hyderabad",36,yes,yes,no,no
44,44,https://www.zomato.com/hyderabad/new-santosh-dhaba-begum-bazaar,New Santosh Dhaba,3.7,₹200 for one,"North Indian, Chinese, Biryani, Beverages",4,41 min,"Begum Bazaar, Hyderabad",10,yes,yes,yes,yes
45,45,https://www.zomato.com/hyderabad/bahar-biryani-cafe-dilsukhnagar,Bahar Biryani Cafe,3.8,₹250 for one,"Biryani, North Indian, Chinese, Mughlai, Beverages",5,48 min,"Dilsukhnagar, Hyderabad",6,yes,yes,no,yes
46,46,https://www.zomato.com/hyderabad/imperial-multi-cuisine-restaurant-1-malakpet,Imperial Multi Cuisine Restaurant,4.2,₹250 for one,"North Indian, Mughlai, Kebab, Chinese, Seafood, Biryani, Desserts",7,32 min,"Malakpet, Hyderabad",2,yes,yes,no,yes
47,47,https://www.zomato.com/hyderabad/nic-ice-creams-banjara-hills,NIC Ice Creams,4.4,₹250 for one,"Ice Cream, Desserts",2,60 min,"Banjara Hills, Hyderabad",21,no,no,yes,no
