,links,names,ratings,price for one,cuisine,no of cisine,delivery time
447,https://www.zomato.com/hyderabad/sri-raadhe-chills-thrills-abids,Sri Raadhe Chills & Thrills,3.9,₹100 for one,"Street Food, Fast Food, Chinese, Beverages, Desserts, Pizza",6,49 min
448,https://www.zomato.com/hyderabad/balaji-dhaba-abids,Balaji Dhaba,3.9,₹100 for one,"North Indian, Chinese, Biryani",3,41 min
449,https://www.zomato.com/hyderabad/zaiqa-fish-point-5-chandrayanagutta,Zaiqa Fish Point,4.0,₹100 for one,Seafood,1,40 min
450,https://www.zomato.com/hyderabad/shiva-sai-reddy-sweets-chaat-saroor-nagar,Shiva Sai Reddy Sweets & Chaat,4.4,₹100 for one,"Mithai, Street Food",2,48 min
451,https://www.zomato.com/hyderabad/shanbhags-chinese-food-court-charminar,Shanbhag's Chinese Food Court,4.0,₹100 for one,"North Indian, Chinese, Seafood",3,26 min
452,https://www.zomato.com/hyderabad/southern-spice-2-amberpet,Southern Spice,3.7,₹100 for one,"South Indian, Biryani, North Indian, Chinese, Street Food, Desserts, Shake, Beverages",8,43 min
453,https://www.zomato.com/hyderabad/shawarma-house-1-chandrayanagutta,Shawarma House,4.0,₹150 for one,"Fast Food, Shawarma",2,55 min
454,https://www.zomato.com/hyderabad/bench-cafe-restaurant-abids,Bench Cafe & Restaurant,3.9,₹150 for one,"Cafe, Beverages, Sichuan, Chinese, Pizza, Burger, Momos, Fast Food",8,47 min
455,https://www.zomato.com/hyderabad/terra-cakes-malakpet,Terra Cakes,3.6,₹150 for one,Bakery,1,59 min
456,https://www.zomato.com/hyderabad/waffle-studio-himayath-nagar,Waffle Studio,3.7,₹150 for one,"Waffle, Pancake, Shake",3,47 min
457,https://www.zomato.com/hyderabad/mini-punjab-abids,Mini Punjab,3.9,₹150 for one,"North Indian, Chinese, Biryani, Sichuan",4,47 min
458,https://www.zomato.com/hyderabad/juice-splash-ghansi-bazaar,Juice Splash,4.5,₹150 for one,"Beverages, Juices, Shake",3,34 min
459,https://www.zomato.com/hyderabad/lakshmi-restaurant-dilsukhnagar,Lakshmi Restaurant,3.3,₹150 for one,"Biryani, Chinese",2,52 min
460,https://www.zomato.com/hyderabad/saleem-phekus-malakpet,Saleem Phekus,3.8,₹150 for one,"Lebanese, Chinese, Fast Food",3,45 min
461,https://www.zomato.com/hyderabad/shahi-zaiqa-basheer-bagh,Shahi Zaiqa,3.6,₹150 for one,Hyderabadi,1,55 min
462,https://www.zomato.com/hyderabad/ameen-cafe-1-charminar,Ameen Cafe,4.3,₹150 for one,"Chinese, Street Food",2,58 min
463,https://www.zomato.com/hyderabad/new-agra-sweets-begum-bazaar,New Agra Sweets,4.3,₹150 for one,"Mithai, Desserts",2,31 min
464,https://www.zomato.com/hyderabad/zam-zam-fast-food-centre-charminar,Zam Zam Fast Food Centre,4.0,₹150 for one,Chinese,1,41 min
465,https://www.zomato.com/hyderabad/italian-express-basheer-bagh,Italian Express,3.2,₹200 for one,"Chinese, Fast Food, Pizza, Pasta, Italian",5,61 min
466,https://www.zomato.com/hyderabad/food-field-1-charminar,Food Field,4.4,₹200 for one,"North Indian, Chinese, South Indian, Biryani, Beverages",5,37 min
467,https://www.zomato.com/hyderabad/street-falafel-3-mehdipatnam,Street Falafel,3.7,₹200 for one,"Lebanese, Biryani, Fast Food",3,63 min
468,https://www.zomato.com/hyderabad/tara-sweets-chat-koti,Tara Sweets & Chat,4.0,₹200 for one,"North Indian, Chinese, Biryani, Pizza, Fast Food, Street Food, Desserts, Beverages",8,54 min
469,https://www.zomato.com/hyderabad/puffs-n-cakes-saroor-nagar,Puffs n Cakes,4.1,₹200 for one,"Bakery, Desserts, Street Food, Pizza",4,75 min
470,https://www.zomato.com/hyderabad/rolls-bowls-by-feedx-narayanguda,Rolls & Bowls By Feedx,3.5,₹200 for one,"North Indian, Rolls, Chinese, Fast Food, Beverages",5,47 min
471,https://www.zomato.com/hyderabad/labbaik-kings-mustafa-hotel-charminar,Labbaik King's Mustafa Hotel,3.9,₹200 for one,"Hyderabadi, Mughlai, Biryani",3,38 min
472,https://www.zomato.com/hyderabad/99-pancakes-himayath-nagar,99 Pancakes,3.8,₹200 for one,"Pancake, Waffle, Desserts, Fast Food, Shake, Beverages",6,47 min
473,https://www.zomato.com/hyderabad/the-mad-chef-saroor-nagar,The Mad Chef,3.9,₹200 for one,"Chinese, Wraps, Burger, Fast Food",4,49 min
474,https://www.zomato.com/hyderabad/as-bakers-saroor-nagar,As Bakers,4.0,₹200 for one,"Bakery, Desserts",2,64 min
475,https://www.zomato.com/hyderabad/dude-restaurant-dilsukhnagar,Dude Restaurant,3.4,₹200 for one,"Chinese, Lebanese, Biryani",3,53 min
476,https://www.zomato.com/hyderabad/al-harmain-shawarma-1-nampally,Al - Harmain Shawarma,4.2,₹200 for one,Shawarma,1,37 min
477,https://www.zomato.com/hyderabad/mughlai-dastarkhwan-multi-cuisine-restaurant-1-abids,Mughlai Dastarkhwan Multi Cuisine Restaurant,3.3,₹300 for one,"Chinese, North Indian, Hyderabadi, Seafood, Mughlai, Biryani, Street Food, Fast Food",8,40 min
478,https://www.zomato.com/hyderabad/arabic-kunafa-khairatabad,Arabic Kunafa,4.0,₹300 for one,Desserts,1,61 min
479,https://www.zomato.com/hyderabad/azizia-hotel-nampally,Azizia Hotel,3.9,₹300 for one,"North Indian, Chinese, Biryani, Andhra, Desserts, Mughlai",6,35 min
480,https://www.zomato.com/hyderabad/ishaan-pizza-zone-begum-bazaar,Ishaan Pizza Zone,3.3,₹300 for one,"Fast Food, Street Food, Pizza, Chinese, Paan",5,38 min
481,https://www.zomato.com/hyderabad/mr-grill-shawarmas-kebabs-meerpet,Mr. Grill - Shawarmas & Kebabs,4.2,₹300 for one,"Shawarma, Kebab",2,64 min
482,https://www.zomato.com/hyderabad/mandi-elite-1-dilsukhnagar,Mandi Elite,4.1,₹300 for one,"Mughlai, Seafood",2,45 min
483,https://www.zomato.com/hyderabad/black-pearl-hotel-central-park-himayath-nagar,Black Pearl - Hotel Central Park,4.0,₹300 for one,"North Indian, Chinese, Mughlai, Seafood, Kebab, Biryani, Desserts, Beverages",8,39 min
484,https://www.zomato.com/hyderabad/mirs-grills-n-garlics-meerpet,Mir's Grills N Garlics,3.7,₹300 for one,"Fast Food, Chinese, Pizza, Sandwich, Wraps",5,57 min
485,https://www.zomato.com/hyderabad/rammy-fast-food-adikmet,Rammy Fast Food,3.7,₹300 for one,"Chinese, Sichuan",2,50 min
486,https://www.zomato.com/hyderabad/oye-pizza-abids,Oye Pizza,3.8,₹300 for one,"Pizza, Fast Food, Street Food, Shake, Beverages",5,56 min
487,https://www.zomato.com/hyderabad/kirans-food-court-kfc-charminar,Kiran's Food Court - KFC,4.0,₹300 for one,"Momos, Fast Food",2,32 min
488,https://www.zomato.com/hyderabad/kings-mezbaan-restaurant-attapur,Kings Mezbaan Restaurant,3.8,₹300 for one,"Mughlai, North Indian, Chinese, Biryani",4,43 min
489,https://www.zomato.com/hyderabad/dosa-express-dilsukhnagar,Dosa Express,4.2,₹100 for one,South Indian,1,49 min
490,https://www.zomato.com/hyderabad/china-bowl-himayath-nagar,China Bowl,3.7,₹100 for one,"Chinese, Momos, Biryani",3,60 min
491,https://www.zomato.com/hyderabad/agra-sweet-house-1-amberpet,Agra  Sweet House,4.2,₹100 for one,"Mithai, Street Food, Fast Food",3,46 min
492,https://www.zomato.com/hyderabad/mr-showarma-dilsukhnagar,Mr Showarma,3.3,₹100 for one,"Sandwich, Momos, Shawarma, Fast Food, Rolls, Mexican",6,45 min
493,https://www.zomato.com/hyderabad/the-favorite-biryani-and-shawarma-dilsukhnagar,The Favorite Biryani And Shawarma,3.3,₹100 for one,"Biryani, Chinese, Shawarma",3,50 min
494,https://www.zomato.com/hyderabad/swaad-of-south-basheer-bagh,Swaad Of South,4.1,₹100 for one,"South Indian, North Indian, Chinese, Beverages",4,40 min
495,https://www.zomato.com/hyderabad/american-bakers-basheer-bagh,American Bakers,4.2,₹100 for one,"Bakery, Fast Food, Desserts, Pizza, Sandwich, Burger",6,45 min
496,https://www.zomato.com/hyderabad/blah-blah-resto-bake-dilsukhnagar,Blah Blah Resto Bake,3.5,₹100 for one,"Chinese, North Indian, Biryani, Beverages, Pizza, Seafood, Sandwich, Burger",8,50 min
497,https://www.zomato.com/hyderabad/kouzina-kafe-the-food-court-dilsukhnagar,Kouzina Kafe - The Food Court,3.8,₹100 for one,"Fast Food, Burger, Momos, Rolls, Desserts, Bakery, Shake",7,46 min
498,https://www.zomato.com/hyderabad/tara-juice-world-malakpet,Tara Juice World,4.2,₹100 for one,"Beverages, Juices, Shake",3,37 min
499,https://www.zomato.com/hyderabad/brown-bear-bakers-saroor-nagar,Brown Bear Bakers,3.8,₹100 for one,"Bakery, Desserts",2,43 min
500,https://www.zomato.com/hyderabad/alina-wraps-1-saroor-nagar,Alina Wraps,4.0,₹100 for one,"Fast Food, Wraps, Shawarma",3,56 min
501,https://www.zomato.com/hyderabad/balaji-hukmichand-mithai-bhandar-saroor-nagar,Balaji Hukmichand Mithai Bhandar,4.5,₹100 for one,"Mithai, Street Food",2,38 min
502,https://www.zomato.com/hyderabad/smoke-sizzle-narayanguda,Smoke & Sizzle,3.9,₹100 for one,"Chinese, Lebanese, Wraps, Kebab, North Indian, Biryani",6,46 min
503,https://www.zomato.com/hyderabad/makkah-tiffin-centre-charminar,Makkah Tiffin Centre,3.8,₹100 for one,South Indian,1,31 min
504,https://www.zomato.com/hyderabad/mohammedi-confectioners-1-ghansi-bazaar,Mohammedi Confectioners,4.3,₹100 for one,Mithai,1,24 min
505,https://www.zomato.com/hyderabad/amogh-multicuisine-restaurant-kacheguda,Amogh Multicuisine Restaurant,4.1,₹100 for one,"Biryani, South Indian",2,39 min
506,https://www.zomato.com/hyderabad/apoorva-mess-basheer-bagh,Apoorva Mess,4.1,₹100 for one,"South Indian, North Indian",2,36 min
507,https://www.zomato.com/hyderabad/bismillah-hotel-ghansi-bazaar,Bismillah Hotel,4.2,₹100 for one,"Hyderabadi, Street Food",2,23 min
508,https://www.zomato.com/hyderabad/new-babar-bakery-2-falaknuma,New Babar Bakery,4.2,₹100 for one,"Fast Food, Bakery, Desserts",3,29 min
509,https://www.zomato.com/hyderabad/cheesecakes-by-cakezone-himayath-nagar,Cheesecakes by CakeZone,4.0,₹100 for one,"Bakery, Desserts",2,33 min
510,https://www.zomato.com/hyderabad/burhanpur-khowa-jalebi-masab-tank,Burhanpur Khowa Jalebi,4.4,₹100 for one,"Desserts, Mithai",2,36 min
511,https://www.zomato.com/hyderabad/chaat-cart-malakpet,Chaat Cart,3.7,₹100 for one,"Street Food, Fast Food",2,36 min
512,https://www.zomato.com/hyderabad/kafe-chai-nashta-1-charminar,Kafe Chai Nashta,4.1,₹100 for one,"South Indian, Street Food, Desserts",3,28 min
